channel	labels	temperature	set	sample_name	subtype	sample_name_machine	state	sample_id
128N	126-130N	50	Set6	SUP-B15	BCR.ABL1	SUP_B15	pro.B	Set6_tmt16plex_128N
128C	126-130N	53	Set6	SUP-B15	BCR.ABL1	SUP_B15	pro.B	Set6_tmt16plex_128C
129N	126-130N	56	Set6	SUP-B15	BCR.ABL1	SUP_B15	pro.B	Set6_tmt16plex_129N
129C	126-130N	59	Set6	SUP-B15	BCR.ABL1	SUP_B15	pro.B	Set6_tmt16plex_129C
130N	126-130N	63	Set6	SUP-B15	BCR.ABL1	SUP_B15	pro.B	Set6_tmt16plex_130N
130C	134-130C	63	Set6	MHH-CALL-3	TCF3.PBX1	MHH_CALL_3	pro.B	Set6_tmt16plex_130C
131N	134-130C	59	Set6	MHH-CALL-3	TCF3.PBX1	MHH_CALL_3	pro.B	Set6_tmt16plex_131N
131C	134-130C	56	Set6	MHH-CALL-3	TCF3.PBX1	MHH_CALL_3	pro.B	Set6_tmt16plex_131C
132N	134-130C	53	Set6	MHH-CALL-3	TCF3.PBX1	MHH_CALL_3	pro.B	Set6_tmt16plex_132N
132C	134-130C	50	Set6	MHH-CALL-3	TCF3.PBX1	MHH_CALL_3	pro.B	Set6_tmt16plex_132C
133N	134-130C	47	Set6	MHH-CALL-3	TCF3.PBX1	MHH_CALL_3	pro.B	Set6_tmt16plex_133N
133C	134-130C	44	Set6	MHH-CALL-3	TCF3.PBX1	MHH_CALL_3	pro.B	Set6_tmt16plex_133C
134N	134-130C	41	Set6	MHH-CALL-3	TCF3.PBX1	MHH_CALL_3	pro.B	Set6_tmt16plex_134N
126	126-130N	41	Set7	TMD5	BCR.ABL1	TMD5	pre.B.other	Set7_tmt16plex_126
127N	126-130N	44	Set7	TMD5	BCR.ABL1	TMD5	pre.B.other	Set7_tmt16plex_127N
127C	126-130N	47	Set7	TMD5	BCR.ABL1	TMD5	pre.B.other	Set7_tmt16plex_127C
128N	126-130N	50	Set7	TMD5	BCR.ABL1	TMD5	pre.B.other	Set7_tmt16plex_128N
128C	126-130N	53	Set7	TMD5	BCR.ABL1	TMD5	pre.B.other	Set7_tmt16plex_128C
129N	126-130N	56	Set7	TMD5	BCR.ABL1	TMD5	pre.B.other	Set7_tmt16plex_129N
129C	126-130N	59	Set7	TMD5	BCR.ABL1	TMD5	pre.B.other	Set7_tmt16plex_129C
130N	126-130N	63	Set7	TMD5	BCR.ABL1	TMD5	pre.B.other	Set7_tmt16plex_130N
130C	134-130C	63	Set7	KOPN-8	KMT2A.MLLT1	KOPN_8	late.pre.B	Set7_tmt16plex_130C
131N	134-130C	59	Set7	KOPN-8	KMT2A.MLLT1	KOPN_8	late.pre.B	Set7_tmt16plex_131N
131C	134-130C	56	Set7	KOPN-8	KMT2A.MLLT1	KOPN_8	late.pre.B	Set7_tmt16plex_131C
132N	134-130C	53	Set7	KOPN-8	KMT2A.MLLT1	KOPN_8	late.pre.B	Set7_tmt16plex_132N
132C	134-130C	50	Set7	KOPN-8	KMT2A.MLLT1	KOPN_8	late.pre.B	Set7_tmt16plex_132C
133N	134-130C	47	Set7	KOPN-8	KMT2A.MLLT1	KOPN_8	late.pre.B	Set7_tmt16plex_133N
133C	134-130C	44	Set7	KOPN-8	KMT2A.MLLT1	KOPN_8	late.pre.B	Set7_tmt16plex_133C
134N	134-130C	41	Set7	KOPN-8	KMT2A.MLLT1	KOPN_8	late.pre.B	Set7_tmt16plex_134N
126	126-130N	41	Set8	NALL-1	PAX5.ETV6	NALL_1	pro.B	Set8_tmt16plex_126
127N	126-130N	44	Set8	NALL-1	PAX5.ETV6	NALL_1	pro.B	Set8_tmt16plex_127N
127C	126-130N	47	Set8	NALL-1	PAX5.ETV6	NALL_1	pro.B	Set8_tmt16plex_127C
128N	126-130N	50	Set8	NALL-1	PAX5.ETV6	NALL_1	pro.B	Set8_tmt16plex_128N
128C	126-130N	53	Set8	NALL-1	PAX5.ETV6	NALL_1	pro.B	Set8_tmt16plex_128C
129N	126-130N	56	Set8	NALL-1	PAX5.ETV6	NALL_1	pro.B	Set8_tmt16plex_129N
129C	126-130N	59	Set8	NALL-1	PAX5.ETV6	NALL_1	pro.B	Set8_tmt16plex_129C
130N	126-130N	63	Set8	NALL-1	PAX5.ETV6	NALL_1	pro.B	Set8_tmt16plex_130N
130C	134-130C	63	Set8	COG-LL-319h	TCF3.PBX1	COG_319	pro.B	Set8_tmt16plex_130C
131N	134-130C	59	Set8	COG-LL-319h	TCF3.PBX1	COG_319	pro.B	Set8_tmt16plex_131N
131C	134-130C	56	Set8	COG-LL-319h	TCF3.PBX1	COG_319	pro.B	Set8_tmt16plex_131C
132N	134-130C	53	Set8	COG-LL-319h	TCF3.PBX1	COG_319	pro.B	Set8_tmt16plex_132N
132C	134-130C	50	Set8	COG-LL-319h	TCF3.PBX1	COG_319	pro.B	Set8_tmt16plex_132C
133N	134-130C	47	Set8	COG-LL-319h	TCF3.PBX1	COG_319	pro.B	Set8_tmt16plex_133N
133C	134-130C	44	Set8	COG-LL-319h	TCF3.PBX1	COG_319	pro.B	Set8_tmt16plex_133C
134N	134-130C	41	Set8	COG-LL-319h	TCF3.PBX1	COG_319	pro.B	Set8_tmt16plex_134N
126	126-130N	41	Set9	MHH-CALL-2	PTMA.TMSB4X	MHH_CALL_2	early.pre.B	Set9_tmt16plex_126
127N	126-130N	44	Set9	MHH-CALL-2	PTMA.TMSB4X	MHH_CALL_2	early.pre.B	Set9_tmt16plex_127N
127C	126-130N	47	Set9	MHH-CALL-2	PTMA.TMSB4X	MHH_CALL_2	early.pre.B	Set9_tmt16plex_127C
128N	126-130N	50	Set9	MHH-CALL-2	PTMA.TMSB4X	MHH_CALL_2	early.pre.B	Set9_tmt16plex_128N
128C	126-130N	53	Set9	MHH-CALL-2	PTMA.TMSB4X	MHH_CALL_2	early.pre.B	Set9_tmt16plex_128C
129N	126-130N	56	Set9	MHH-CALL-2	PTMA.TMSB4X	MHH_CALL_2	early.pre.B	Set9_tmt16plex_129N
129C	126-130N	59	Set9	MHH-CALL-2	PTMA.TMSB4X	MHH_CALL_2	early.pre.B	Set9_tmt16plex_129C
130N	126-130N	63	Set9	MHH-CALL-2	PTMA.TMSB4X	MHH_CALL_2	early.pre.B	Set9_tmt16plex_130N
130C	134-130C	63	Set9	COG-LL-394h	ZMIZ1.ABL1	COG_394	late.pre.B	Set9_tmt16plex_130C
131N	134-130C	59	Set9	COG-LL-394h	ZMIZ1.ABL1	COG_394	late.pre.B	Set9_tmt16plex_131N
131C	134-130C	56	Set9	COG-LL-394h	ZMIZ1.ABL1	COG_394	late.pre.B	Set9_tmt16plex_131C
132N	134-130C	53	Set9	COG-LL-394h	ZMIZ1.ABL1	COG_394	late.pre.B	Set9_tmt16plex_132N
132C	134-130C	50	Set9	COG-LL-394h	ZMIZ1.ABL1	COG_394	late.pre.B	Set9_tmt16plex_132C
133N	134-130C	47	Set9	COG-LL-394h	ZMIZ1.ABL1	COG_394	late.pre.B	Set9_tmt16plex_133N
133C	134-130C	44	Set9	COG-LL-394h	ZMIZ1.ABL1	COG_394	late.pre.B	Set9_tmt16plex_133C
134N	134-130C	41	Set9	COG-LL-394h	ZMIZ1.ABL1	COG_394	late.pre.B	Set9_tmt16plex_134N
